frame,time_seconds,player_id,confidence,x1,y1,x2,y2,ground_x,ground_y,inside_forward50,zone
21,0.42,6,0.4123,1041.62,528.06,1065.08,601.8,1053.35,601.8,True,left_half_forward
21,0.42,7,0.7357,959.53,554.07,985.75,620.17,972.64,620.17,True,left_half_forward
21,0.42,9,0.4229,221.63,492.95,245.11,545.62,233.37,545.62,False,outside
21,0.42,15,0.3796,1345.24,613.56,1375.17,687.75,1360.2,687.75,True,central_corridor
21,0.42,11,0.3952,138.68,522.43,160.69,571.12,149.69,571.12,True,outside
21,0.42,13,0.3627,485.55,496.66,506.28,550.39,495.91,550.39,True,left_pocket
22,0.44,1,0.633,1376.76,707.51,1416.61,814.2,1396.68,814.2,True,central_corridor
22,0.44,2,0.699,1481.02,847.8,1534.52,984.85,1507.77,984.85,False,outside
22,0.44,4,0.6333,98.82,574.79,128.19,643.65,113.51,643.65,True,left_pocket
22,0.44,5,0.623,1414.84,725.59,1453.19,827.96,1434.01,827.96,True,central_corridor
22,0.44,6,0.4289,1042.09,528.19,1065.35,600.23,1053.72,600.23,True,left_half_forward
22,0.44,7,0.7344,960.64,553.88,986.16,621.08,973.4,621.08,True,left_half_forward
22,0.44,9,0.4175,221.5,493.01,244.93,545.44,233.22,545.44,False,outside
22,0.44,15,0.3768,1345.16,613.44,1375.07,687.96,1360.12,687.96,True,central_corridor
22,0.44,11,0.3991,138.81,522.34,160.83,571.38,149.82,571.38,True,left_pocket
22,0.44,13,0.3528,485.41,497.28,505.59,550.45,495.5,550.45,True,left_pocket
23,0.46,1,0.5723,1374.49,706.81,1414.86,813.4,1394.68,813.4,True,central_corridor
23,0.46,2,0.6984,1481.23,848.32,1534.37,984.81,1507.8,984.81,False,outside
23,0.46,4,0.6358,98.05,575.19,128.25,643.36,113.15,643.36,True,left_pocket
23,0.46,5,0.6268,1413.56,727.15,1451.36,828.45,1432.46,828.45,True,central_corridor
23,0.46,7,0.7249,962.73,553.84,989.47,620.17,976.1,620.17,True,left_half_forward
23,0.46,9,0.4333,221.78,492.38,245.09,544.85,233.43,544.85,False,outside
23,0.46,15,0.3872,1345.21,612.85,1375.29,688.62,1360.25,688.62,True,central_corridor
23,0.46,11,0.4646,140.04,522.99,160.51,573.48,150.27,573.48,True,left_pocket
23,0.46,3,0.4166,1141.29,692.01,1207.15,816.7,1174.22,816.7,True,central_corridor
24,0.48,1,0.5686,1373.48,706.35,1414.36,813.02,1393.92,813.02,True,central_corridor
24,0.48,2,0.6978,1481.22,848.53,1534.07,984.82,1507.65,984.82,False,outside
24,0.48,4,0.6356,97.7,575.3,128.24,642.84,112.97,642.84,True,left_pocket
24,0.48,5,0.6237,1413.21,727.99,1450.89,828.53,1432.05,828.53,True,central_corridor
24,0.48,7,0.7262,963.49,553.91,990.71,619.98,977.1,619.98,True,left_half_forward
24,0.48,9,0.4351,221.92,492.06,245.32,545.15,233.62,545.15,False,outside
24,0.48,15,0.3841,1345.21,612.75,1375.45,688.56,1360.33,688.56,True,central_corridor
24,0.48,11,0.4552,140.24,522.95,160.41,574.28,150.33,574.28,True,left_pocket
24,0.48,3,0.4286,1140.12,691.44,1207.44,817.9,1173.78,817.9,True,central_corridor
25,0.5,1,0.5638,1373.1,706.18,1413.61,812.54,1393.35,812.54,True,central_corridor
25,0.5,2,0.6969,1481.18,848.57,1533.87,984.81,1507.52,984.81,False,outside
